iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
917000;2048;130.78;1601.93;1124.90%;129.151904;1601.23
918000;2048;129.46;1612.3;1145.40%;129.517485;1611.63
919000;2048;129.57;1588.4;1125.90%;129.401276;1587.68
920000;2048;131.05;1604.76;1124.54%;128.970299;1604.12
921000;2048;132.98;1612.43;1112.54%;130.006731;1611.66
922000;2048;132.12;1608.5;1117.45%;130.923501;1607.81
923000;2048;130.91;1613.15;1132.26%;129.816662;1612.44
924000;2048;130.78;1613.4;1133.67%;132.764705;1612.59
925000;2048;131.23;1624.96;1138.25%;131.594238;1624.35
926000;2048;131.49;1630.69;1140.16%;133.002298;1629.93
927000;2048;131.15;1631.82;1144.24%;132.56719;1631.16
928000;2048;131.34;1625.67;1137.76%;131.15239;1624.49
929000;2048;131.86;1610.97;1121.73%;131.114111;1610.3
930000;2048;130.43;1609.88;1134.29%;131.100813;1609.12
931000;2048;132.07;1620.12;1126.71%;131.421171;1619.39
932000;2048;133.63;1622.15;1113.91%;133.392662;1621.51
933000;2048;132.62;1623.4;1124.10%;131.595295;1622.68
934000;2048;133.53;1635.45;1124.78%;131.527201;1634.74
935000;2048;132.29;1646.32;1144.48%;132.257797;1645.54
936000;2048;132.29;1625.04;1128.39%;132.837001;1624.31
937000;2048;133.26;1637.55;1128.84%;132.786827;1636.79
938000;2048;132.67;1668.91;1157.94%;134.219841;1668.22
939000;2048;132.55;1626.95;1127.42%;133.509733;1626.22
940000;2048;134.08;1667.04;1143.32%;136.155889;1666.3
941000;2048;132.65;1628.53;1127.69%;133.51583;1627.35
942000;2048;133.32;1645.96;1134.59%;132.45006;1645.27
943000;2048;134.06;1625.34;1112.40%;132.78105;1624.6
944000;2048;133.4;1659.88;1144.29%;133.679282;1659.2
945000;2048;134.88;1645.98;1120.33%;132.929468;1645.28
946000;2048;135.4;1638.03;1109.77%;133.006801;1637.35
947000;2048;134.22;1646.54;1126.75%;133.820121;1645.85
948000;2048;133.54;1646.16;1132.71%;134.320064;1645.51
949000;2048;134.58;1656.7;1131.02%;133.537633;1655.98
950000;2048;133.86;1658.23;1138.78%;135.526658;1657.55
951000;2048;134.44;1650.07;1127.37%;134.798196;1649.36
952000;2048;134.23;1699.18;1165.87%;135.079892;1698.5
953000;2048;133.69;1664.28;1144.88%;135.609595;1663.48
954000;2048;135.3;1657.02;1124.70%;134.126791;1656.36
955000;2048;135.8;1660.84;1123.00%;136.186238;1660.08
956000;2048;136.98;1647.13;1102.46%;134.510196;1646.47
957000;2048;135.05;1660.22;1129.34%;134.957665;1659.54
958000;2048;135.95;1671.68;1129.63%;134.615874;1670.97
959000;2048;135.71;1667.25;1128.54%;135.810323;1666.48
960000;2048;136.43;1654.11;1112.42%;134.939344;1653.44
961000;2048;134.81;1658.61;1130.33%;134.697271;1657.97
962000;2048;137.1;1667.95;1116.59%;136.249469;1667.25
963000;2048;136.97;1657.76;1110.31%;137.039173;1656.98
964000;2048;137.24;1671.17;1117.70%;136.159236;1670.52
965000;2048;140.42;1668.73;1088.38%;135.516269;1667.96
966000;2048;139.64;1675.59;1099.94%;138.083045;1674.94
967000;2048;138.55;1663.18;1100.42%;136.404582;1662.52
968000;2048;138.73;1686.57;1115.72%;137.485368;1685.8
969000;2048;136.64;1681.68;1130.74%;137.130482;1681.04
970000;2048;136.74;1681.11;1129.42%;137.129371;1680.45
971000;2048;138.34;1664.09;1102.90%;137.056514;1663.35
972000;2048;137.76;1697.19;1131.99%;136.571734;1696.36
973000;2048;139.72;1700.08;1116.78%;138.653234;1699.28
974000;2048;138.73;1690.88;1118.83%;139.310384;1690.2
975000;2048;138.31;1682.78;1116.67%;138.706969;1682.07
976000;2048;140.79;1688.55;1099.34%;137.840569;1687.87
977000;2048;138.55;1686.98;1117.60%;138.676524;1686.28
978000;2048;137.84;1706.37;1137.94%;139.319393;1705.68
979000;2048;139.17;1678.16;1105.83%;138.003151;1677.35
980000;2048;137.83;1684.16;1121.91%;140.919494;1683.46
981000;2048;138.02;1711.37;1139.94%;139.062603;1710.68
982000;2048;139.26;1699.59;1120.44%;139.346873;1698.85
983000;2048;139.85;1701.59;1116.73%;138.279713;1700.87
984000;2048;139.48;1700.72;1119.33%;140.215271;1700.08
985000;2048;140.28;1731.8;1134.53%;140.043597;1705.36
986000;2048;141.12;1692.57;1099.38%;138.612056;1691.84
987000;2048;140.98;1697.64;1104.17%;138.567908;1696.94
988000;2048;138.87;1694.8;1120.42%;139.640303;1694
989000;2048;139.86;1703.54;1118.03%;140.322167;1702.91
990000;2048;142.05;1724.22;1113.81%;141.208655;1723.55
991000;2048;140.14;1704.67;1116.41%;138.673733;1703.98
992000;2048;139.35;1698.12;1118.60%;141.605806;1697.32
993000;2048;141.92;1718.19;1110.68%;140.273946;1717.52
994000;2048;140.86;1701.57;1107.99%;141.022123;1700.78
995000;2048;141.57;1709.76;1107.71%;141.109067;1709.08
996000;2048;141.89;1714.84;1108.57%;139.965058;1714.2
997000;2048;141.26;1714.41;1113.66%;140.805667;1713.7
998000;2048;140.08;1718.73;1126.96%;140.261384;1717.91
999000;2048;141.03;1713.51;1115.00%;140.831965;1712.81
1000000;2048;142.84;1757.86;1130.65%;141.870603;1757.17
