iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
315000;512;4098.54;4600;12.24%;4304.149023;4599.62
316000;512;4117.97;5372.52;30.47%;4319.356018;5372.13
317000;512;4107.83;5311.33;29.30%;4332.960686;5310.94
318000;512;4123.51;4691.41;13.77%;4341.099158;4691.05
319000;512;4151.41;5169.54;24.52%;4275.715162;5169.12
320000;512;4166.65;5069.9;21.68%;4289.92036;5069.55
321000;512;4162.05;5423.08;30.30%;4381.629456;5422.62
322000;512;4173.51;5313.97;27.33%;4379.79362;5313.59
323000;512;4202.26;5317.89;26.55%;4382.594054;5317.48
324000;512;4200.43;4544.22;8.18%;4500.456562;4543.75
325000;512;4339.62;5159.81;18.90%;4728.043872;5159.44
326000;512;4405.02;5276.41;19.78%;4550.980847;5275.94
327000;512;4281.67;5523.8;29.01%;4542.378512;5523.27
328000;512;4286.2;4483.34;4.60%;4404.382757;4482.95
329000;512;4261.64;5316.14;24.74%;4447.329255;5315.74
330000;512;4294.02;5403.3;25.83%;4629.036433;5402.94
331000;512;4299.02;4901.63;14.02%;4523.659274;4901.24
332000;512;4316.84;5382.42;24.68%;4552.859037;5382.06
333000;512;4329.91;5390.05;24.48%;4550.24529;5389.64
334000;512;4365.54;4786.31;9.64%;4538.483147;4785.95
335000;512;4336.58;5322.96;22.75%;4435.707724;5322.48
336000;512;4348.39;5368.06;23.45%;4600.909128;5367.67
337000;512;4392.3;4946.88;12.63%;4620.382016;4946.5
338000;512;4399.14;5226.89;18.82%;4528.757012;5226.52
339000;512;4397.07;5414.77;23.14%;4548.310735;5414.38
340000;512;4407.87;5429.88;23.19%;4498.649967;5429.51
341000;512;4446.6;5490.31;23.47%;4643.422907;5489.95
342000;512;4444.45;4583.39;3.13%;4561.634131;4582.94
343000;512;4441.19;5463.87;23.03%;4672.941918;5463.49
344000;512;4474.79;4975.11;11.18%;4713.835276;4974.72
345000;512;4486.45;4849.66;8.10%;4711.697781;4849.27
346000;512;4495.94;5098.11;13.39%;4844.694008;5097.75
347000;512;4520.24;5402.02;19.51%;4644.698503;5401.57
348000;512;4522.25;5351.74;18.34%;4591.278432;5351.34
349000;512;4523.2;5189.76;14.74%;4601.25254;5189.37
350000;512;4534.08;5445.44;20.10%;4674.297491;5445.08
351000;512;4547.76;5506.75;21.09%;4660.212421;5506.27
352000;512;4574.65;6022.38;31.65%;4682.862946;6022
353000;512;4589.39;5165.91;12.56%;4727.894586;5165.5
354000;512;4581.18;6117.52;33.54%;4762.070142;6117.13
355000;512;4622.43;5781.81;25.08%;4790.935783;5781.41
356000;512;4627.23;5469.53;18.20%;4710.778349;5469.13
357000;512;4632.58;4818.91;4.02%;4801.644616;4818.45
358000;512;4637.25;6121.84;32.01%;4808.228758;6121.37
359000;512;4643.65;5610.34;20.82%;4780.289715;5609.99
360000;512;4684.89;6102.34;30.26%;4795.429461;6101.99
361000;512;4677.06;4951.52;5.87%;4807.911624;4951.16
362000;512;4715.27;6084.96;29.05%;4809.838926;6084.58
363000;512;4700.18;6204.54;32.01%;4880.686226;6204.14
364000;512;4750.18;6241.18;31.39%;4868.863361;6240.77
365000;512;4726.48;6154.75;30.22%;4907.580168;6154.35
366000;512;4742.06;4940.46;4.18%;4879.378837;4940.05
367000;512;4756.05;5772.48;21.37%;4909.076822;5772.08
